'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-2.045,-1.245
1,-2.045,-1.245
2,-2.045,-1.245
3,-2.045,-1.245
4,-2.045,-1.245
5,-2.090,-1.245
6,-2.140,-1.245
7,-2.205,-1.345
8,-2.270,-1.445
9,-2.340,-1.575
10,-2.405,-1.720
11,-2.465,-1.830
12,-2.545,-1.830
13,-2.580,-1.715
14,-2.555,-1.515
15,-2.435,-1.310
16,-2.220,-1.095
17,-1.940,-0.910
18,-1.640,-0.780
19,-1.425,-0.690
20,-1.215,-0.605
21,-1.050,-0.480
22,-0.935,-0.355
23,-0.840,-0.210
24,-0.780,-0.095
25,-0.720,-0.015
26,-0.690,0.045
27,-0.640,0.105
28,-0.595,0.150
29,-0.570,0.215
30,-0.540,0.290
31,-0.500,0.340
32,-0.480,0.380
33,-0.450,0.415
34,-0.395,0.440
35,-0.325,0.480
36,-0.250,0.515
37,-0.200,0.550
38,-0.165,0.570
39,-0.140,0.600
40,-0.115,0.640
41,-0.080,0.695
42,-0.035,0.715
43,0.005,0.750
44,0.045,0.745
45,0.090,0.745
46,0.140,0.745
47,0.180,0.760
48,0.235,0.750
49,0.270,0.770
50,0.300,0.770
51,0.295,0.770
52,0.300,0.775
53,0.300,0.795
54,0.320,0.815
55,0.340,0.820
56,0.345,0.820
57,0.355,0.820
58,0.375,0.835
59,0.400,0.850
60,0.430,0.870
61,0.460,0.855
62,0.475,0.865
63,0.480,0.865
64,0.495,0.865
65,0.525,0.900
66,0.560,0.915
67,0.600,0.940
68,0.635,0.945
69,0.650,0.935
70,0.680,0.960
71,0.710,0.985
72,0.755,0.995
73,0.785,0.995
74,0.810,1.010
75,0.820,1.015
76,0.840,1.035
77,0.870,1.055
78,0.920,1.070
79,0.965,1.075
80,0.980,1.090
81,1.000,1.095
82,1.030,1.100
83,1.070,1.130
84,1.095,1.145
85,1.105,1.135
86,1.100,1.140
87,1.100,1.135
88,1.115,1.135
89,1.130,1.150
90,1.145,1.160
91,1.155,1.150
92,1.150,1.130
93,1.140,1.130
94,1.130,1.110
95,1.125,1.115
96,1.130,1.105
97,1.110,1.095
98,1.085,1.080
99,1.045,1.050
100,1.015,1.030
101,0.985,1.020
102,0.955,1.010
103,0.920,0.980
104,0.880,0.940
105,0.840,0.915
106,0.785,0.895
107,0.745,0.885
108,0.720,0.865
109,0.685,0.815
110,0.635,0.790
111,0.575,0.745
112,0.515,0.715
113,0.470,0.710
114,0.425,0.695
115,0.365,0.670
116,0.305,0.650
117,0.250,0.625
118,0.190,0.590
119,0.160,0.595
120,0.140,0.580
