-6,02043264014289
-6,17401439571539
-6,32614463262762
-6,47682467319377
-6,62605566648339
-6,77383860105554
-6,92017431750651
-7,06506352082908
-7,20850679258453
-2,05997243540370
-7,49105732218580
-7,63016523288998
-10,9421478412471
-8,96215381962661
-5,92260898795913
-1,82351338863091
-5,12971849907929
-5,26015997133678
-6,44726351416089
-5,51670979966831
-0,352285941161945
4,81358232972710
4,69036282105864
5,62669407327524
4,44825668021325
5,38747621617971
7,38624602533462
14,6769915481916
15,6205416434351
18,6817473187351
20,6862887180068
30,0990166506783
43,7456110473276
53,1612195534197
55,1715218572325
56,1251554170114
53,9059060849085
54,8624110365039
50,5298172276759
57,8378258614521
47,1594549044660
40,7149373965147
35,3299517999478
32,0626021323835
30,9128857942558
30,8226935640490
21,2109581257700
12,6587406359870
3,04982484780493
-1,26715422314931
-7,69894540588144
-9,89691410665620
-7,86106454874890
-14,2886783765418
-18,5986959195669
-19,7330156336005
-17,6916426352021
-13,5326887040210
-15,7210108858787
-16,8498699577562
-16,9192719664158
-14,8711167619366
-12,8216237330078
-8,65458677356492
-12,9510772196445
-16,1881444117202
-16,2495829661308
-12,0772941744359
-11,0780310380311
-6,90316316467866
-5,90133760567673
-11,2468823529907
-13,4168484371769
-13,4693514635049
-13,5206137095140
-5,10579335539570
20,2399511823822
54,0517583166519
96,3296176951469
143,899199433909
183,005109084854
205,182484140420
193,501610400498
140,555731344404
63,2745382025336
3,98227639272902
-23,5656825850080
-24,6598832438641
-25,7529989738704
-18,3801910631139
-13,1225368024061
-11,0381557771015
-5,77842273016036
-5,80820266150013
-10,0694028533739
-13,2715050335081
-17,5307361390841
-16,4984718096886
-11,2328328850233
-7,02436609955924
-5,98929904308526
-9,18575302260377
-11,3232108896394
-10,2854749363822
-6,07256045676161
-5,03312147489420
-7,16717353749148
-9,30041300861118
-10,3747492313066
-8,27398522121301
-7,23056269500838
-5,12828486235899
-5,14148718819770
-8,32829235199005
-8,34007807391852
-7,29307361091843
-4,12918898174494
-3,08086642840217
-4,14812250807504
-9,44718668744753
-7,33890483354459
-4,17193221185408
-3,12060480958940
-3,12683289533645
-3,13252674614216
-4,19580950757349
-6,31669788626076
-5,26278284241352
-2,09218748426286
2,13696510646419
-1,04019315286362
-2,10072093479353
-3,16084763259100
-1,04627041719997
0,0105685679067609
3,18397228278091
0,00907299516985383
-3,16550687498035
-2,10735768437557
-3,16513402726895
3,18410610900383
6,35928261219121
4,24416695653878
1,07116934278534
2,13080653763955
1,07442467874821
4,25064725199606
7,42703356143442
5,31303663754787
5,31538687945882
5,31785695820930
5,32043259186730
8,49741898561315
7,44205720281761
10,6191850089130
6,38961813891754
4,27630121011495
3,22111472341989
8,51457800549203
9,57561411140947
8,52042353507754
3,23278127921339
3,23563336362317
4,29654242703350
6,41549710217302
6,41816698684563
4,30454125035140
1,13271577183525
-3,09731972147323
-2,03693661466454
-2,03478320307191
0,0834504160428082
0,0853294123234925
-2,02915500456784
-4,14379844741396
-4,14239621403174
-5,19927545047858
-4,14012437845071
-4,13926949322845
-9,42914339232127
-13,6611140032740
-9,42844248153816
-7,31219900995177
-6,25428265753746
