0,-0.805,-0.455
1,-0.805,-0.455
2,-0.805,-0.455
3,-0.805,-0.455
4,-0.805,-0.455
5,-0.805,-0.455
6,-0.805,-0.455
7,-0.820,-0.455
8,-0.835,-0.455
9,-0.840,-0.430
10,-0.835,-0.435
11,-0.845,-0.415
12,-0.840,-0.420
13,-0.840,-0.405
14,-0.855,-0.400
15,-0.880,-0.415
16,-0.905,-0.420
17,-0.940,-0.440
18,-0.950,-0.475
19,-0.985,-0.485
20,-0.980,-0.495
21,-1.020,-0.490
22,-1.015,-0.495
23,-1.020,-0.490
24,-1.015,-0.490
25,-1.010,-0.475
26,-0.990,-0.465
27,-0.995,-0.470
28,-0.995,-0.485
29,-1.010,-0.490
30,-1.020,-0.505
31,-1.030,-0.515
32,-1.040,-0.515
33,-1.035,-0.505
34,-1.035,-0.515
35,-1.040,-0.490
36,-1.025,-0.495
37,-1.025,-0.470
38,-1.005,-0.455
39,-1.010,-0.470
40,-1.005,-0.455
41,-1.010,-0.470
42,-1.010,-0.485
43,-1.025,-0.480
44,-1.030,-0.505
45,-1.045,-0.490
46,-1.035,-0.495
47,-1.035,-0.480
48,-1.020,-0.480
49,-1.010,-0.470
50,-0.995,-0.455
51,-0.995,-0.465
52,-0.980,-0.455
53,-0.965,-0.470
54,-0.980,-0.465
55,-0.985,-0.495
56,-0.980,-0.495
57,-0.970,-0.475
58,-0.960,-0.480
59,-0.935,-0.445
60,-0.910,-0.410
61,-0.860,-0.335
62,-0.745,-0.265
63,-0.580,-0.130
64,-0.360,0.030
65,-0.095,0.185
66,0.165,0.305
67,0.435,0.385
68,0.710,0.405
69,0.975,0.445
70,1.160,0.460
71,1.200,0.460
72,1.070,0.415
73,0.735,0.305
74,0.255,0.140
75,-0.310,-0.135
76,-0.910,-0.455
77,-1.395,-0.815
78,-1.660,-1.085
79,-1.700,-1.220
80,-1.590,-1.170
81,-1.395,-1.020
82,-1.230,-0.845
83,-1.105,-0.720
84,-1.065,-0.595
85,-1.030,-0.545
86,-1.050,-0.545
87,-1.050,-0.540
88,-1.035,-0.545
89,-1.020,-0.540
