'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-0.875,-0.650
1,-0.875,-0.650
2,-0.875,-0.650
3,-0.875,-0.650
4,-0.875,-0.650
5,-0.875,-0.650
6,-0.875,-0.650
7,-0.860,-0.650
8,-0.850,-0.650
9,-0.840,-0.665
10,-0.840,-0.665
11,-0.825,-0.660
12,-0.830,-0.675
13,-0.835,-0.680
14,-0.845,-0.685
15,-0.855,-0.680
16,-0.850,-0.680
17,-0.855,-0.675
18,-0.850,-0.670
19,-0.835,-0.660
20,-0.825,-0.650
21,-0.825,-0.650
22,-0.840,-0.650
23,-0.840,-0.670
24,-0.825,-0.675
25,-0.825,-0.680
26,-0.830,-0.705
27,-0.825,-0.695
28,-0.835,-0.695
29,-0.830,-0.675
30,-0.835,-0.665
31,-0.830,-0.655
32,-0.820,-0.650
33,-0.805,-0.660
34,-0.805,-0.670
35,-0.805,-0.670
36,-0.810,-0.685
37,-0.815,-0.685
38,-0.820,-0.695
39,-0.830,-0.700
40,-0.830,-0.685
41,-0.825,-0.685
42,-0.840,-0.670
43,-0.825,-0.665
44,-0.800,-0.655
45,-0.795,-0.660
46,-0.795,-0.665
47,-0.800,-0.675
48,-0.805,-0.675
49,-0.805,-0.680
50,-0.805,-0.680
51,-0.810,-0.690
52,-0.810,-0.675
53,-0.815,-0.675
54,-0.815,-0.670
55,-0.805,-0.665
56,-0.800,-0.660
57,-0.790,-0.660
58,-0.800,-0.665
59,-0.800,-0.680
60,-0.805,-0.685
61,-0.820,-0.680
62,-0.825,-0.690
63,-0.825,-0.695
64,-0.820,-0.685
65,-0.815,-0.680
66,-0.805,-0.665
67,-0.800,-0.660
68,-0.795,-0.675
69,-0.800,-0.665
70,-0.785,-0.680
71,-0.800,-0.670
72,-0.795,-0.685
73,-0.800,-0.690
74,-0.810,-0.695
75,-0.810,-0.695
76,-0.810,-0.685
77,-0.815,-0.685
78,-0.815,-0.665
79,-0.800,-0.670
80,-0.785,-0.655
81,-0.790,-0.665
82,-0.780,-0.670
83,-0.795,-0.670
84,-0.795,-0.680
85,-0.795,-0.690
86,-0.800,-0.700
87,-0.805,-0.695
88,-0.815,-0.695
89,-0.805,-0.690
90,-0.800,-0.670
91,-0.790,-0.675
92,-0.795,-0.670
93,-0.790,-0.660
94,-0.785,-0.670
95,-0.780,-0.665
96,-0.770,-0.670
97,-0.775,-0.675
98,-0.785,-0.665
99,-0.795,-0.670
100,-0.795,-0.660
101,-0.775,-0.665
102,-0.775,-0.655
103,-0.755,-0.665
104,-0.750,-0.660
105,-0.740,-0.680
106,-0.740,-0.700
107,-0.740,-0.715
108,-0.745,-0.755
109,-0.750,-0.775
110,-0.740,-0.790
111,-0.745,-0.795
112,-0.750,-0.775
113,-0.745,-0.760
114,-0.745,-0.745
115,-0.735,-0.730
116,-0.730,-0.725
117,-0.720,-0.725
118,-0.730,-0.740
119,-0.720,-0.740
120,-0.730,-0.740
121,-0.715,-0.745
122,-0.720,-0.740
123,-0.740,-0.725
124,-0.755,-0.710
125,-0.735,-0.690
126,-0.735,-0.675
127,-0.735,-0.670
128,-0.735,-0.655
129,-0.730,-0.660
130,-0.735,-0.670
131,-0.750,-0.670
132,-0.755,-0.690
133,-0.770,-0.680
134,-0.780,-0.685
135,-0.795,-0.700
136,-0.800,-0.695
137,-0.800,-0.685
138,-0.790,-0.685
139,-0.770,-0.670
140,-0.775,-0.665
141,-0.770,-0.670
142,-0.765,-0.665
143,-0.755,-0.660
144,-0.765,-0.660
145,-0.765,-0.650
146,-0.775,-0.640
147,-0.750,-0.655
148,-0.745,-0.670
149,-0.720,-0.725
150,-0.705,-0.810
151,-0.655,-0.935
152,-0.590,-1.105
153,-0.505,-1.285
154,-0.400,-1.500
155,-0.290,-1.680
156,-0.165,-1.810
157,-0.050,-1.875
158,0.045,-1.855
159,0.115,-1.745
160,0.155,-1.595
161,0.195,-1.425
162,0.210,-1.255
163,0.265,-1.150
164,0.285,-1.035
165,0.295,-0.950
166,0.245,-0.885
167,0.180,-0.820
168,0.105,-0.760
169,0.015,-0.715
170,-0.080,-0.695
171,-0.180,-0.675
172,-0.280,-0.670
173,-0.370,-0.660
174,-0.445,-0.640
175,-0.515,-0.630
176,-0.545,-0.625
177,-0.590,-0.625
178,-0.650,-0.620
179,-0.665,-0.605
180,-0.685,-0.620
181,-0.715,-0.630
182,-0.725,-0.630
183,-0.715,-0.640
184,-0.720,-0.625
185,-0.720,-0.615
186,-0.710,-0.610
187,-0.715,-0.600
188,-0.695,-0.590
189,-0.690,-0.590
190,-0.690,-0.605
191,-0.690,-0.605
192,-0.680,-0.605
193,-0.685,-0.610
194,-0.695,-0.620
195,-0.705,-0.620
196,-0.700,-0.615
197,-0.700,-0.600
198,-0.695,-0.610
199,-0.685,-0.595
200,-0.680,-0.590
201,-0.665,-0.585
202,-0.665,-0.585
203,-0.660,-0.600
204,-0.665,-0.605
205,-0.665,-0.605
206,-0.670,-0.625
207,-0.670,-0.620
208,-0.670,-0.615
209,-0.680,-0.605
210,-0.655,-0.595
211,-0.655,-0.605
212,-0.655,-0.580
213,-0.640,-0.580
214,-0.645,-0.595
215,-0.640,-0.605
216,-0.640,-0.610
217,-0.655,-0.620
218,-0.655,-0.615
219,-0.670,-0.625
220,-0.680,-0.620
221,-0.670,-0.620
222,-0.675,-0.605
223,-0.655,-0.605
224,-0.665,-0.595
225,-0.650,-0.595
226,-0.640,-0.600
227,-0.635,-0.600
228,-0.640,-0.605
229,-0.650,-0.620
230,-0.655,-0.615
231,-0.640,-0.625
232,-0.650,-0.625
233,-0.655,-0.615
234,-0.640,-0.610
235,-0.635,-0.600
236,-0.625,-0.600
237,-0.615,-0.605
238,-0.620,-0.610
239,-0.620,-0.600
240,-0.615,-0.615
241,-0.625,-0.620
242,-0.625,-0.630
243,-0.625,-0.625
244,-0.630,-0.620
245,-0.630,-0.630
246,-0.610,-0.610
247,-0.595,-0.610
248,-0.585,-0.595
249,-0.575,-0.595
250,-0.580,-0.595
251,-0.570,-0.600
252,-0.580,-0.620
253,-0.570,-0.625
254,-0.580,-0.640
255,-0.580,-0.635
256,-0.585,-0.640
257,-0.590,-0.620
258,-0.580,-0.620
259,-0.580,-0.620
260,-0.570,-0.625
261,-0.565,-0.620
262,-0.575,-0.620
263,-0.575,-0.625
264,-0.575,-0.635
265,-0.590,-0.635
266,-0.600,-0.650
267,-0.615,-0.660
268,-0.615,-0.650
269,-0.605,-0.655
270,-0.625,-0.645
271,-0.605,-0.630
272,-0.615,-0.630
273,-0.615,-0.620
274,-0.620,-0.635
275,-0.630,-0.645
276,-0.640,-0.645
277,-0.645,-0.655
278,-0.670,-0.660
279,-0.685,-0.675
280,-0.690,-0.660
281,-0.695,-0.665
282,-0.710,-0.650
283,-0.715,-0.645
284,-0.725,-0.640
285,-0.735,-0.640
286,-0.725,-0.640
287,-0.745,-0.640
288,-0.755,-0.660
289,-0.755,-0.660
290,-0.760,-0.675
291,-0.775,-0.675
292,-0.785,-0.675
293,-0.780,-0.675
294,-0.780,-0.665
295,-0.765,-0.660
296,-0.765,-0.650
297,-0.755,-0.645
298,-0.760,-0.645
299,-0.755,-0.650
300,-0.770,-0.660
301,-0.775,-0.670
302,-0.790,-0.675
303,-0.790,-0.675
304,-0.790,-0.670
305,-0.790,-0.660
306,-0.780,-0.650
307,-0.775,-0.650
308,-0.780,-0.645
309,-0.765,-0.640
310,-0.765,-0.645
311,-0.765,-0.655
312,-0.770,-0.670
313,-0.795,-0.660
314,-0.790,-0.665
315,-0.795,-0.670
316,-0.800,-0.670
317,-0.800,-0.655
318,-0.795,-0.645
319,-0.790,-0.645
320,-0.795,-0.640
321,-0.790,-0.625
322,-0.800,-0.640
323,-0.800,-0.650
324,-0.805,-0.660
325,-0.805,-0.665
326,-0.820,-0.660
327,-0.825,-0.675
328,-0.840,-0.670
329,-0.835,-0.665
330,-0.830,-0.660
331,-0.825,-0.650
332,-0.825,-0.635
333,-0.820,-0.630
334,-0.825,-0.645
335,-0.830,-0.655
336,-0.830,-0.665
337,-0.835,-0.655
338,-0.840,-0.670
339,-0.850,-0.680
340,-0.855,-0.670
341,-0.855,-0.675
342,-0.845,-0.660
343,-0.845,-0.655
344,-0.850,-0.660
345,-0.830,-0.650
346,-0.830,-0.655
347,-0.840,-0.665
348,-0.835,-0.670
349,-0.850,-0.675
350,-0.860,-0.695
351,-0.855,-0.685
352,-0.865,-0.690
353,-0.870,-0.675
354,-0.855,-0.680
355,-0.855,-0.665
356,-0.845,-0.660
357,-0.850,-0.660
358,-0.855,-0.670
359,-0.850,-0.675
360,-0.860,-0.675
361,-0.840,-0.680
362,-0.860,-0.690
363,-0.865,-0.700
364,-0.865,-0.695
365,-0.870,-0.685
366,-0.855,-0.675
367,-0.840,-0.665
368,-0.840,-0.670
369,-0.835,-0.660
370,-0.840,-0.665
371,-0.840,-0.680
372,-0.840,-0.690
373,-0.835,-0.685
374,-0.855,-0.690
375,-0.860,-0.695
376,-0.850,-0.700
377,-0.855,-0.690
378,-0.840,-0.685
379,-0.835,-0.670
380,-0.830,-0.670
381,-0.820,-0.665
382,-0.825,-0.670
383,-0.830,-0.675
384,-0.835,-0.685
385,-0.835,-0.700
386,-0.830,-0.700
387,-0.850,-0.695
388,-0.865,-0.705
389,-0.850,-0.700
390,-0.840,-0.685
391,-0.835,-0.695
392,-0.820,-0.675
393,-0.815,-0.680
394,-0.815,-0.690
395,-0.805,-0.685
396,-0.820,-0.695
397,-0.825,-0.705
398,-0.825,-0.710
399,-0.830,-0.710
400,-0.830,-0.705
401,-0.825,-0.705
402,-0.825,-0.685
403,-0.820,-0.675
404,-0.820,-0.680
405,-0.815,-0.670
406,-0.805,-0.675
407,-0.805,-0.680
408,-0.815,-0.695
409,-0.825,-0.705
410,-0.835,-0.705
411,-0.840,-0.705
412,-0.840,-0.715
413,-0.835,-0.700
414,-0.835,-0.685
415,-0.830,-0.680
416,-0.825,-0.680
417,-0.815,-0.680
418,-0.810,-0.675
419,-0.805,-0.690
420,-0.820,-0.690
421,-0.825,-0.695
422,-0.830,-0.715
423,-0.825,-0.705
424,-0.830,-0.715
425,-0.825,-0.705
426,-0.825,-0.690
427,-0.815,-0.690
428,-0.815,-0.680
429,-0.790,-0.675
430,-0.800,-0.680
431,-0.810,-0.680
432,-0.815,-0.685
433,-0.805,-0.695
434,-0.820,-0.705
435,-0.815,-0.710
436,-0.825,-0.705
437,-0.825,-0.700
438,-0.825,-0.700
439,-0.815,-0.675
440,-0.800,-0.675
441,-0.800,-0.675
442,-0.810,-0.685
443,-0.805,-0.695
444,-0.810,-0.690
445,-0.820,-0.695
446,-0.815,-0.695
447,-0.810,-0.700
448,-0.800,-0.685
449,-0.795,-0.680
450,-0.790,-0.670
451,-0.770,-0.670
452,-0.760,-0.685
453,-0.745,-0.685
454,-0.745,-0.700
455,-0.750,-0.720
456,-0.755,-0.750
457,-0.770,-0.770
458,-0.780,-0.775
459,-0.785,-0.800
460,-0.775,-0.800
461,-0.760,-0.785
462,-0.760,-0.770
463,-0.755,-0.750
464,-0.740,-0.740
465,-0.735,-0.745
466,-0.745,-0.745
467,-0.750,-0.755
468,-0.750,-0.760
469,-0.755,-0.760
470,-0.760,-0.760
471,-0.755,-0.765
472,-0.750,-0.745
473,-0.765,-0.730
474,-0.765,-0.705
475,-0.760,-0.690
476,-0.760,-0.675
477,-0.760,-0.665
478,-0.775,-0.680
479,-0.780,-0.680
480,-0.785,-0.705
481,-0.800,-0.720
482,-0.805,-0.715
483,-0.815,-0.715
484,-0.810,-0.725
485,-0.820,-0.715
486,-0.810,-0.695
487,-0.800,-0.695
488,-0.805,-0.690
489,-0.785,-0.695
490,-0.790,-0.700
491,-0.785,-0.690
492,-0.800,-0.685
493,-0.800,-0.695
494,-0.800,-0.685
495,-0.800,-0.670
496,-0.805,-0.675
497,-0.790,-0.665
498,-0.780,-0.680
499,-0.760,-0.710
500,-0.730,-0.770
501,-0.700,-0.890
502,-0.655,-1.055
503,-0.605,-1.250
504,-0.495,-1.470
505,-0.380,-1.695
506,-0.260,-1.855
507,-0.155,-1.955
508,-0.060,-1.930
509,0.015,-1.815
510,0.055,-1.645
511,0.095,-1.450
512,0.140,-1.270
513,0.180,-1.125
